2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31
115.1700,119.7300,117.0600,103.5200,90.4900,93.4200
133.5700,153.0500,166.7700,135.6900,132.4800,102.9000
143.5800,148.3400,149.7600,150.2000,130.5900,94.3300
137.4600,139.4900,143.4600,137.1100,123.7400,99.0800
27.5400,30.7400,29.1600,26.6900,23.3100,15.0100
82.2900,88.5400,99.6600,82.9700,72.0000,54.0800
96.9800,95.4900,93.6500,84.3100,66.2500,45.3600
120.8100,133.7300,142.0100,140.5700,122.9700,102.6600
65.1000,58.3100,57.7400,57.8600,53.7700,26.8000
190.0200,190.7400,192.6800,208.1400,189.7500,180.0900
144.7000,147.4800,149.3400,162.4700,155.1100,139.3800
60.4700,60.2400,61.4000,59.4400,54.1600,53.7300
195.4800,221.7500,218.9500,227.0500,224.0300,237.9500
178.8600,184.5100,187.9000,198.9700,181.7600,161.1200
65.6300,64.5700,66.5000,65.7700,53.5800,36.2100
142.8700,141.8700,143.9900,141.6300,120.2600,108.0700
117.2600,119.0900,118.8400,114.4900,107.6800,113.6200
54.7800,59.6000,58.9600,50.8500,45.7600,45.7500
112.2100,112.9100,113.9600,121.7000,110.8100,92.5600
211.6200,222.0700,233.6500,223.7900,194.8900,182.0500
94.4000,88.6500,92.2300,99.8900,92.3300,88.1300
51.6300,54.4600,53.8000,46.9400,40.8500,28.7000
